GPS	Site	Street Address	City	ST	Zip	Location on Site	First Screen
38.64931516764192 -90.52420020103455	Bonhomme Old Stone Church	14699 Conway road at Old White Road	Chesterfield	MO	63017	in front of historic church	Earlier site of 2nd oldest Presbyterian church west of the Mississippi River, founded in1816.  Alissa Shoults, Artist.
38.65735736186223 -90.2208785712719	Boys & Girls Clubs of Greater St. Louis	2901 N Grand Blvd	St. Louis	MO	63107	Outside of main entrance	Site of the old Sportsman's Park/Busch Stadium.  Richard Rice, Artist
38.61261395378771 -90.26726603507996	Brightside St. Louis	4646 Shenandoah Ave.	St. Louis	MO	63110	Outside at Shenandoah & Vendeventer	Founded in 1982 to make St. Louis cleaner, greener and better.  Public Vote Winner.  George Grove, Artist
38.61879744196361 -90.19253432750702	Broadway Oyster Bar	736 S Broadway	St. Louis	MO	63102	outside of main entrance	Housed in one of the oldest buildings in St. Louis, built in the 1840's.  Public Vote Winner.  Gina Harmon, Artist.
38.62380482796262 -90.193792283535	Busch Stadium	 700 Clark Ave	St. Louis	MO	63102	8th and Clark outside of team store	Home of the St. Louis Cardinals.  Artist, Katherine Nelson.
38.66485974363639 -90.54248079657	Butterfly House at Faust Park	15193 Olive Blvd	Chesterfield	MO	63017	In front of entrance	Features 2,000 tropical butterflies in flight. Marilyn Callahan, Artist.
38.65487803647611 -90.059072971344	Cahokia Mounds State Historic Site	30 Ramey Street	Collinsville	IL	62234	Outside entrance to interpretative center	Inhabited from 700-1400 and peaking from 1050-1200 was home to 10,00-20,000 people.  Mark Swain, Artist
39.15683079070586 -90.61666399240494	Calhoun County Community Foundation	100 Main Street	Hardin	IL	62047	Near flagpole in Harman Park (Main & Water)	County named for  John Calhoun, VP of the US under Presidents John Quincy Adams & Andrew Jackson.  Artist: Lindsay Harmon.
38.63150539839858 -90.20174905657768	Campbell House Museum	1508 Locust St	St. Louis	MO	63103	Outside in front of building	Built in 1851 as the first house in Lucas Place. Nicholas Nihira, Artist
38.55860813515297 -90.24992689490318	Carondelet Historical Society - Des Peres School	6303 Michigan Ave.	St. Louis	MO	63111	outside of main entrance	Carondelet Historical Society - Des Peres School - Artist April Morrison
38.56242570997017 -90.2658149600029	Carondelet Park	3900 Holly Hills Dr	St. Louis	MO	63116	Across street from boathouse	Park dedicated on July 4, 1876.  Mark Swain, Artist
38.55262187891657 -90.54316073656082	Castlewood Park	1401 Kiefer Creek Rd	Ballwin	MO	63021	Next to Park Office	Considered one of the best mountain biking locations in St. Louis.  Erik Thompson, artist.
38.641899332840964 -90.25436729192734	Cathedral Basilica of Saint Louis (New Cathedral)	4431 Lindell Blvd.	St. Louis	MO	63108	Outside at  Lindell and Newstead	Completed in 1914, this public vote winner is celebrating it's 100th anniversary. Martha Clark, Artist
38.63786405457314 -90.23131236433983	Centene Center for the Arts & Education	3547 Olive 	St. Louis	MO	63103	Outside main entrance	Has raised and distributed over $100 million in 51 years for area arts and arts education organizations.  Emily Cross, Artist.
38.649877654456716 -90.33480942249298	Centene Corporation	7700 Forsyth Blvd.	Clayton	MO	63105	Between garage and building	Founded in 1984, as a national leader in healthcare services. Rich Brooks, Artist.
38.74042069976983 -90.5238327383995	Centennial Greenway / KATY Trail	2886 Arena Parkway	St. Charles	MO	63303	At entrance to trail by Hemsath Parking area	Named for the 100th Anniversary of the 1904 World’s Fair and Olympics and the founding of University City. Mark Swain, Artist
38.63264626971408 -90.26202499866486	Central Institute for the Deaf	825 South Taylor	St. Louis	MO	63110	Outside main entrance on south side of building	Celebrating its centennial anniversary.  April Morrison, Artist.
38.64438216387455 -90.26450470089912	Chase Park Plaza	212 North Kingshighway	St. Louis	MO	63108	Under portico in front of hotel	Built by and named after Chase Ullman, opened in 1922.  Chase Staff, Artist
38.592502347949996 -90.21589368581772	Chatillon-DeMenil Mansion	3352 DeMenil Place	St. Louis	MO	63118	In courtyard behind the building	Constructed in 1849 at the top of Arsenal Hill to command a view of the Mississippi River April Morrison, Artist
38.5934066019545 -90.22562742233276	Cherokee Business District	3401 South Jefferson	St. Louis	MO	63118	NW Corner of Jefferson and Cherokee	The Indian Statue was created by Bill Christman and installed in 1985. Sophia Dalpiaz-Brown, Artist
38.644685598069124 -90.2608944475	Chess Center	4657 Maryland Avenue	St. Louis	MO	63108	On median across from Chess Hall of Fame	In 2009 and 2011, US Chess Federation named St. Louis "Chess City of the Year." Screwed Arts Collective, Artist 
38.630433654260855 -90.19873693585396	Christ Church Cathedral	1210 Locust St	St. Louis	MO	63103	Outside on sidewalk in front of Cathedral.	Est. in 1819 as the first Episcopal congregation west of the Mississippi. Public vote winner. Mark Swain, Artist
38.713231963850035 -90.35425141453743	Chuck-A-Burger Drive-In	9025 St Charles Rock Rd	St. John	MO	63114	Outside entrance 	Family owned since 1957 and hosts car shows and cruise nights.  Artist: Bill Christman
38.57019776488476 -90.18851101398468	Church of the Holy Family	East 1st Street	Cahokia	IL	62206	Outside of main entrance	Built in 1799 - oldest continually active Catholic parish in US.  
38.633460268727895 -90.20083576440811	City Museum	701 North 15th Street	St. Louis	MO	63103	Inside lobby	The brainchild of Bob Cassilly, the museum opened for visitors in 1997. decorated by City Museum staff
38.62722937573253 -90.19483298063278	Citygarden	801 Market St	St. Louis	MO	63101	By curved wall on N side of garden	Opened in 2009 and features 24 sculptures. Rich Brooks, Artist - Sponsored by Peabody Energy
38.60805222867015 -90.20725563168526	Clementine's	2001 Menard St	St. Louis	MO	63104	Outside of main entrance	St. Louis'  first LGBT bar.  Earl Miller, Artist
38.610898494128534 -89.3683934211731	Clinton County Courthouse	850 Fairfax Street	Carlyle	IL	62231	In front of Courthouse	Clinton County was organized in 1824 out of Washington, Fayette, and Bond Counties.  Paul LaFlam, Artist.
38.65511323542855 -90.310625284910	COCA - Center of Creative Arts	524 Trinity Avenue	St. Louis	MO	63130	Outside next to bike racks by parking lot.	Building designed by Eric Mendelsohn and is on the National Register of Historic Places. Artist: COCA
38.614921521903284 -90.23905992507935	Compton Hill Water Tower	1900 South Grand Boulevard	St. Louis	MO	63104	Outside on tower stairs	Built in 1898,1 of 3 remaining stand pipe-water towers in STL and 1 of 7 in US. Genevieve Esson, Artist
38.638080346799796 -90.31160697340965	Concordia Seminary	801 Seminary Pl	St. Louis	MO	63105	On plaza at end of Seminary Place	Second oldest Lutheran seminary in U.S. - Janice Schoultz-Mudd, Artist.
38.81096093242938 -90.10086447000504	Confluence Tower	435 Confluence Tower Dr	HARTFORD	IL	62048	ground level of the tower	Commemorates Lewis & Clark's historic expedition.  Jean Ponzi, Artist
38.7246962560316 -90.48522636294365	Creve Coeur Lake	13236 Streetcar Dr.	Maryland Heights	MO	63043	Entrance to Tremayne shelter near Boat Ramp	At 320 acres is largest natural lake in MO. Deb Stroh, Artist
38.651303591154736 -90.19777469336987	Crown Candy Kitchen	1401 St. Louis Avenue	St. Louis	MO	63106	Outside main entrance	Est. in 1913 and is a public vote winner and cornerstone of Old North St. Louis - April Morrison, Artist
38.62872733413996 -90.29315069317818	Dogtown 	1360 Tamm Avenue	St. Louis	MO	63139	MOVED to in front of Latitude 26	Est. largely as a mining settlement called Cheltenham in the 19th century. Jess Goldthorpe, Artist
38.62503068839763 -90.18858343362808	Drury Plaza at the Arch	2 South 4th Street	St. Louis 	MO	63102	Corner of Market and 4th	Historic renovation includes Int'l Fur Exchange, Thomas Jefferson and American Zinc buildings.  Sara Siegler, Artist.
38.62938075219022 -90.18339335918	Eads Bridge (Arch-Laclede's Landing MetroLink Station)	200 Washington Avenue	St. Louis	MO	63102	At Eads Bridge Metro Station	Opened in 1874 as the longest arch bridge in the world. Dale Dufer, Artist
	East St. Louis Municipal Building	301 River Park Drive 	East St. Louis	MO	62201	In front of building	East St Louis Municipal Building.  Artist, Genevieve Esson
38.47802333380582 -89.94007140398026	Eckert's Belleville Country Store	951 S. Greenmount 	Belleville	IL	62220	Located outside of market	The Eckert home was built on Turkey Hill in 1880 and the first fruit trees were planted in 1890 - Mary Hessler, Artist
38.63219281726567 -90.18986150622368	Edward Jones Dome	701 Convention Plaza	St. Louis	MO	63101	Inside roundabout entrance at 7th and Convention Plaza	Completed in 1995 can seat up to 70,000 people. Stacey Sandweg and Gary Lang, Artists  
38.6040393894386 -90.4458475112915	Edward Jones South Campus	12555 Manchester Rd	St. Louis	MO	63131	Outside of main campus	Founded in 1922, • employs more than 5,000 STL area associates.  Public Vote Winner.  Artist, Andy Cross.
38.50917173479739 -89.97683376073837	Emma Kunz House	602 Fulton St.	Belleville	IL	62220	Outside in front yard	Built in 1851 and named after Emma Kunz, whose family home it was for 80 yrs. David Ottinger, Artist.
38.51535598387319 -90.55192217230797	Endangered Wolf Center	6750 Tyson Valley Road	Eureka	MO	63025	MOVED - Outside the main entry gates	Founded in 1971 by Marlin and Carol Perkins. Public vote winner. Maura Pusateri, Artist
38.620021082817566 -90.19203409552574	Eugene Field House 	634 South Broadway	St. Louis	MO	63102	inside Ladies parlor	Eugene Field House  - Corinne Didishaeim, Artist
38.63879869982754 -90.23165434598923	Fabulous Fox Theatre	539 North Grand Blvd.	St. Louis	MO	63103	Outside of main entrance	Opened its doors to the public for the very first time 85 years ago in 1929. Artist: Rick Monrotus
38.668671711865464 -90.22466853260994	Fairground Park 	3700 Fair Avenue	St. Louis	MO	63107	Outside on NW side of lake by building	Opened in 1908 and was site of first city swimming pool. Dan Jabor, Artist
38.65253264703868 -90.34596824141579	Famous Footwear / Brown Shoe Company  	8300 Maryland Ave	Clayton	MO	63105	Outside next to giant shoe of shoes	Originally named Bryan, Brown & Company after its founders George Warren Brown and Alvin Bryan. Jennifer Hayes, Artist  
38.58069444881745 -90.24397507309914	Feasting Fox	4200 S Grand Blvd	St. Louis	MO	63111	Outside of entrance	100 years-old this year and built by Anheuser-Busch.  Mark Swain, Artist
38.74483704883665 -90.30526623129845	Ferguson Station Depot	1 Carson Road	Ferguson	MO	63135	Below depot by City Walk fountain	Built 1885to launch travelers to St. Louis and other cities. Dennis Babbitt, Artist
38.779978 -90.48174399999999	First Missouri State Capitol State Historic Site	200 S Main St	St. Charles	MO	63301	Outside building	Missouri's first state capitol was located in St. Charles from 1821 to 1826. Lindsay Harmon, Artist
38.64387229133856 -90.28349474072456	Forest Park Forever	5595 Grand Dr	St. Louis	MO	63112	Outside in front of Visitor's Center	Forest Park Forever - Tom Hunt, Artist
38.828057380931476 -90.21377205848694	Fort Belle Fontaine	13300 Bellefontaine Rd	St. Louis	MO	63138	On bluffs overlooking MO River	From 1809-1826 was a U.S. military fort and the regional Army HQ during the War of1812. Screwed Arts Collective, Artists
38.62513573751266 -90.19033089280128	Fort San Carlos (Hilton St. Louis at the Ballpark)	1 South Broadway	St. Louis	MO	63102	Outside main entrance	Site of only Revolutionary War battle west of Mississippi.  Artist, Craig Downs
38.7960219522598 -90.70716977119446	Fort Zumwalt Park	1000 Jessup Dr W	O'Fallon	MO	63366	Outside in front of brick park building	Historic park  features a War of 1812 fort, and the restored Darius Heald Home. Leah Pruitt, Artist
38.65555934113073 -90.26076167821884	Fountain Park / MLK Statue	4900 Fountain Avenue	St. Louis	MO	63113	West side of  MLK statue	Plotted in 1857 and home to the only Dr. Martin Luther King statue in St. Louis.  Artist: Screwed Arts Collective
38.64793369136616 -90.31252562999725	Francis Field	6900 Forsyth Boulevard	St. Louis	MO	63105	Outside main gates on east side of field.	Home of the 1904 Olympic games.  April Morrison, Artist
38.58271905655212 -90.44370174407959	Frank Lloyd Wright House	120 N. Ballas Road	St. Louis	MO	63122	Next to drive leading to house	One of five buildings designed by Wright in Missouri. Chris Rice, Artist
38.44487017951251 -91.00521817803383	Franklin County Courthouse	400 East Locust	Union	MO	63084	Inside Courthouse by windows	Separated from St. Louis County and established in 1818. Paul LaFlam, Artist.
	Gaslight Square	Intersection of Boyle and Olive	St. Louis	MO	63108	On triangle at intersection	Once a thriving entertainment district boasting more than 100 period gaslights.  Artist, Theresa Hopkins.  Sponsor, Laclede Gas
	Gaslight Theater	360 North Boyle	St. Louis	MO	63108	In front of Gaslight Theater	Home of the St. Louis Actor's Studio. Artist, Alison Rieke.
38.62413717436657 -90.18532991409302	Gateway Arch	100 Washington Ave	St. Louis	MO	63102	South leg of Arch	Monument to Thomas Jefferson all pioneers for whom St. Louis was the Gateway to the West.  Public vote winner. Andy Cross, Artist
38.51040205314929 -90.32046496868134	Gateway Harley-Davidson	3600 Lemay Ferry Rd.	St. Louis	MO	63125	On median front of store	Family owned and operated since 2002.  Theresa Hopkins, Artist
38.755826681064704 -90.2235098183155	General Daniel Bissell House	10225 Bellefontaine Rd	St. Louis	MO	63137	South side of home on porch	Daniel Bissell (1769-1833) was commander of Fort Belle Fontaine in 1809. April Morrison, Artist
38.6704230503979 -90.20860344171524	Grand Avenue Water Tower	2001 East Grand	St. Louis	MO	63107	West side of tower	Oldest water tower in St. Louis - Gina Harmon, Artist
38.643123029867795 -90.29135897755623	Grand Basin / Fair Saint Louis	Lagoon Drive	St. Louis	MO	63112	on the western edge of plaza along Lagoon Dr.	The 34th annual Fair Saint Louis is coming to Forest Park in 2014. 
38.550118608117124 -90.3575424849987	Grant's Farm  	10501 Gravois Rd	St. Louis	MO	63123	East side of biergarten courtyard	Opened by the Busch family in 1954. Julie Krovicka and Ian Greenlee, Artists. Sponsored by Anheuser-Busch. 
38.53333199184581 -90.33929139375687	Grants Trail	Tesson Ferry & Grant's Trail	St. Louis	MO	63123	NW corner of Clydesdale Park off Grant's Trail	Opened in 1994 as an 8-mile bike trail.  Corinne Didisheim, Artist.
38.89189503077101 -89.41520601511002	Greenville Public Library	414 W Main St	Greenville	IL	62246	Next to sign in front of library	One of the Carnegie libraries and completed in 1905.  Linda Thompson, artist.
38.65277039430952 -90.20926862955093	Griot Museum of Black History	2505 St. Louis Ave	St. Louis	MO	63106-2324	Outside main entrance	Only the second of its kind the US, it opened in 1997.  Keith Cotton, Artist
38.632403200330465 -90.22373110055923	Harris Stowe State University	3026 Laclede Ave	St. Louis	MO	63103	Fountain by Givens Admin. Building	Founded in 1857, is one of only two Historically Black Colleges and Universities in MO. Linda Thompson, Artist
38.58035917532842 -90.77226161956787	Head's General Store / St. Albans	3516 St. Alban's Road	St. Albans	MO	63073	By gas pump in front of store	Built in 1892 as the St. Alban's General Store,  Artist, Con Christeson
38.63371437664377 -90.21871402859688	Heritage House	2800 Olive	St. Louis	MO	63103	Outside main entrance	Heritage House - Ashli England, Artist
38.65137763878274 -90.85318922996521	Historic Daniel Boone Home & Heritage Center	1868 Highway F	Defiance	MO	63341	Outside gift shop	Daniel Boone died in the home in 1820. John Troy, Artist
38.65193147534218 -90.3314982354641	Historic Hanley House	7600 Westmoreland Ave.	Clayton	MO	63105	Outside of main entrance	The 1855 farmstead is the oldest structure in the City of Clayton- Andy Cross, Artist
38.60931338351347 -90.20258322358131	Historic Trinity Lutheran Church	812 Soulard Street	St. Louis	MO	63104	Outside in church yard	Oldest Lutheran congregation west of the Mississippi River. Mark Hurd, Artist 
38.68507848926538 -90.40716469287872	Holocaust Museum & Learning Center	12 Millstone Campus Dr.	St. Louis	MO	63146	Outside entrance 	5,000 SF core exhibition with a chronological history of the Holocaust. Henryk Ptasiewicz, Artist
38.624543047509356 -90.12421444058418	Jackie Joyner-Kersee Center	101 Jackie Joyner-Kersee Circle	East St. Louis	IL	62204	Outside main entrance	Jackie Joyner-Kersee was born in 1962 in East St. Louis, Illinois. She won six Olympic medals. Linda Thompson, Artist
38.63148017708528 -90.27081727981567	James S. McDonnell Planetarium	Clayton Road and Faulkner Dr. in Forest Park	St. Louis	MO	63110	Outside north entrance	Opened in 1963, and named for aviation pioneer and co-founder of McDonnell Douglas. Artist: Sarah Cross 
38.600323027126336 -90.24250522255898	Jay International / South Grand	3172 S. Grand Blvd.	St. Louis	MO	63116	In front of store	South Grand is the most diverse corridor in the St. Louis Region- Vince Sciaroni, Artist
38.63095717469113 -90.21356016397476	Jefferson Bank and Trust	2301 Market Street	St. Louis	MO	63103	Between flag poles on Market	Founded in 1892. April Morrison, Artist
38.51899143434721 -90.27511015534401	Jefferson Barracks Historic Site Visitor's Center	345 North Road	St. Louis	MO	63125	By flagpoles outside of entrance	Is the army’s first permanent base west of the Mississippi River. Paul LaFlam, Artist
39.11896960643354 -90.32918214797974	Jersey County Courthouse	201 W. Pearl Street	Jerseyville	IL	62052	Outside W. Pearl entrance	Courthouse built in 1893. Theresa Hopkins, Artist
38.63506309690988 -90.28031095862389	Jewel Box	5600 Clayton Ave	St. Louis	MO	63110	Outside of entrance	Opened in 1936 and on the Nat'l Register of Historic Places. Andy Cross, Artist
38.62875591832036 -90.1447856426239	Kathryn Dunham Museum	1005 Pennsylvania Ave	East St. Louis	IL	62201	In yard in front of Museum	Houses collection of legendary dancer and activist.  Dail Chambers, Artist
38.668715884851096 -90.58809041976929	Kemp Auto Museum	16955 Chesterfield Airport Rd	Chesterfield	MO	63005	South side of Museum	Est. in 2005, features every era of automobile. Theresa Hopkins, Artist
38.58553031540652 -90.32397195696831	Kenrick-Glennon Seminary	5200 Glennon Dr	Shrewsbury	MO	63119	Outside main building	Est. in 1818, current building completed in 1931. Bruce Howard, Artist
38.62598475740751 -90.19041001796722	Kiener Plaza	500 Chestnut Street	St. Louis	MO	63101	In planting bed in middle of plaza	Named for 1904 Olympic boxer Harry J. Kiener - Rich Brooks, Artist
38.5810929453776 -90.40684551000595	Kirkwood Train Station	110 W. Argonne	Kirkwood	MO	63122	Outside main entrance	Built in 1893 by the Missouri Pacific Railroad. Mary Hanson, Artist.  Sponsored by Bethesda Heath Group
38.6302042172168 -90.18446758389473	Laclede's Landing	710 N 2nd St	St. Louis	MO	63102	Suspended above entrance 	9-block area settled in 1764 by fur traders  Laclede and Chouteau. Artist, Dan Jaboor
38.61733109947963 -90.21373450756073	Lafayette Park	2000 Park Avenue	St. Louis	MO	63104	Corner of Park & Mississippi	Est. in 1836 as the first park west of the Mississippi. Megan Rieke, Artist
38.742385567180705 -90.36623418331146	Lambert St. Louis International Airport	10701 Lambert International Blvd.	St. Louis	MO	63145	Terminal 1 ticketing level in new lounge on south side	Named for Albert Bond Lambert, an Olympic medalist and maker of Listerine - Henryk Ptasiewicz, Artist
38.63112342771756 -90.1932705938816	Lammert Building	911 Washington Street	St. Louis	MO	63101	Outside in front of Washington entrance	Houses T-REX's 72 startup companies  and start up incubator, ArchGrants. Janice Schoultz-Mudd, Artist
38.54724871606535 -90.41781038045883	Laumeier Sculpture Park	12580 Rott Road  St.	St. Louis	MO	63127	North of the West Parking Lot near the Children’s Sculpture Garden	Opened in 1977 and has105-acres and 300,000.  Decorated with found objects from the park. Artist, Nick Lang.
38.6428563868866 -90.18588781356812	Le Grange de Terre (Big Mound) Memorial	1700 North Broadway	St. Louis	MO	63102	On grass adjacent to memorial	Once site of largest Mississippian Culture Indian mounds in St. Louis - dismantled in 1868.  Amanda Blalock, Artist
38.648406035953364 -90.26114255189896	Left Bank Books	399 N. EUCLID AVE. 	St. Louis	MO	63108	Outside on sidewalk by entrance	Locally-owned independent book store since 1969. Peat Wollaeger, Artist
38.59326429388277 -90.21595269441605	Lemp Mansion	3322 Demenil Pl	St. Louis	MO	63118	Outside main entrance	Built in 1868 for the Lemp brewing family. Phil Jarvis, Artist
38.8021572000041 -90.10188907384872	Lewis & Clark State Historic Site	1 Lewis and Clark Trail	Hartford	IL	62048	In main entry foyer by windows	Lewis & Clark State Historic Site - Mike Ochonicky, Artist
38.77295204016725 -90.48248514533043	Lewis and Clark Boat House and Nature Center	1050 S Riverside Dr	St. Charles	MO	63301	Outside building	Lewis & Clark launched from St. Charles on May 21, 1804. Ashli England, Artist 
38.62689007121207 -90.25822296738625	LGBT Center of St. Louis	4337 Manchester Ave.	St. Louis	MO	63110	Outside of center	Opened in 1975 as a secular offshoot of The Metropolitan Community Church of Greater St. Louis.  April Morrison, Artist
38.610143620743735 -90.1565471291542	Lincoln Park	600 South 15th Street	East St. Louis	MO	62207	Outside of circular building	Popular East St. Louis park. Erik Thompson, Artist
38.88991799962541 -90.18591463565826	Lincoln-Douglas Square and Franklin House	Piasa and Broadway 	Alton	IL	62002	Outside by statues	Statues of Lincoln and Douglas commemorate their 1858 debate. Genevieve Esson, Artist
38.7864354849721 -90.50097495317459	Lindenwood University	209 S Kingshighway St	St. Charles	MO	63301	In front of Spellman Center	2nd oldest higher-education institution west of the Mississippi River.  John Troy, Artist.
38.53141532191297 -90.54298639297485	Lone Elk Park	1 Lone Elk Park Rd	St. Louis	MO	63088	Outside of ranger/visitor center	Opened in 1971 - 6 bison were acquired from the St. Louis Zoo in 1973.  Alissa Shoults, Artist
38.58946189563089 -90.34437149763107	Loretto-Hilton Theatre / The Repertory Theatre of St. Louis	130 Edgar Road	St. Louis	MO	63119	MOVED from Theatre to outside the HQ of The Rep (next to theatre).	Home of The Repertory Theatre and Opera Theatre of St. Louis.  Mark Swain, Artist 
38.598943420466256 -90.224050283432	Luvy Duvy's Café / Benton Park	2321 Arsenal Ave.	St. Louis	MO	63118	Outside main entrance	Luvy Duvy's Café is a public vote winner, located in historic Benton Park, est. 1836. Phil Jarvis, Artist
38.5937075233023 -90.21094098687172	Lyon Park/ United States Arsenal 	3100 South Broadway	St. Louis	MO	63118	By General Lyon statue	Gen. Lyon was the first Union general to die during the Civil War. Tina Henderson, Artist
38.81235287598228 -89.95749771595001	Madison County Courthouse	155 North Main Street	Edwardsville	IL	62025	In front of St. Louis St. entrance	Madison County est. September 14, 1812 and named for President James Madison.  Artist, Nicole Cooper
38.62254831332208 -90.17573699355125	Malcolm W. Martin Memorial Park	185 W Trendley Ave	East St. Louis	IL	62201	Outside on overlook by Martin statue	Gateway Geyser reaches 600' - the same height as the Arch. Theresa Hopkins, Artist
38.59269742519163 -90.51068991422653	Manchester City Hall	14318 Manchester Rd	St. Louis	MO	63011	On sidewalk in front of City Hall	The Lyceum (now City Hall)  was built in 1894 and is next to the ancient Manchester Spring. Mike Ochonicky, Artist
38.53955169238673 -90.47700673341751	Maritz	1400 South Highway Drive	Fenton	MO	63099	outside of Maritz Theater (south of 44)	Founded in 1894 by Edward Maritz and employs 2,000 St. Louisans. Rich Brooks, Artist
38.676412718236776 -90.19086062908173	Mary Meachum Freedom Crossing	28 East Prairie Avenue	St. Louis	MO	63147	Outside on grass between trail and river	Part of the National Park Service's Underground Railroad Network to Freedom. Rich Brooks, Artist
38.379113846311235 -90.3846663236618	Mastodon State Historic Site	1050 Charles J Becker Dr	Imperial	Mo	63052	Outside of Visitor's Center	First mastodon bones were found in 1839 by Albert Koch. Rich Brooks, Artist
38.68302651527016 -90.24888753890991	Matthews-Dickey Boy's & Girl's Club	4245 N. Kingshighway Blvd.	St. Louis	MO	63115	Outside main entrance 	Est. in 1960 by neighborhood baseball coaches Martin Luther Mathews and Hubert “Dickey” Ballentine. Dail Chambers, Artist
38.24251984721875 -91.09187096357346	Meramec Caverns	1135 Route W	Sullivan	MO	63079	Outside of welcome center	1864 Confederate troops hid gunpowder in the cave.  Rich Brooks, Artist
38.71009333792118 -90.31127505004406	Mercantile Library	1 University Blvd	St. Louis	MO	63121	Inside of the library.	Rare treasures include Chouteau’s handwritten narrative of the founding of St. Louis. 
38.51971479172854 -90.27270555496216	Mississippi River Greenway - Trailhead in Jefferson Barracks Park	 498 Bagby St. 	St. Louis	MO	63125	next to parking lot of Old Ordinance Museum	Named for the third president, est in 1826. Katherine Nelson, Artist
38.63000725697685 -90.18751859664917	Missouri Athletic Club	405 Washington 	St. Louis	MO	63102	under valet portico	Opened in 1903 and housed dignitaries and athletes for 1904 Worlds Fair and Olympics. Artist,  Stuttgart Visiting Artists
38.615900144355315 -90.25812304020423	Missouri Botanical Garden	4344 Shaw Boulevard	St. Louis	MO	63110	Outside main entrance	Founded in 1859, one of the oldest botanical institutions in the US. Public vote winner. Genevieve Esson, Artist
